Site,Plot,Fires,Frame,Species,Distance_m,Distance_ft,Live/Dead
STEESE,5_1,1,10,POTR,1.76,,D
STEESE,5_1,1,10,ALCR,4.4,,L
STEESE,5_1,1,10,SALIX,,9,L
STEESE,5_1,1,10,ARCTO,,21,L
STEESE,28_1,1,1,BENE,0.52,,L
STEESE,28_1,1,1,PIME,0.41,,D
STEESE,28_1,1,1,SALIX,2.04,,L
STEESE,28_1,1,2,BENE,0.6,,L
STEESE,28_1,1,2,PIME,0.92,,D
STEESE,28_1,1,2,SALIX,1.07,,L
STEESE,28_1,1,3,BENE,0.63,,L
STEESE,28_1,1,3,PIME,0.37,,D
STEESE,28_1,1,3,SALIX,1.64,,L
STEESE,28_1,1,4,BENE,1.33,,L
STEESE,28_1,1,4,PIME,0.86,,D
STEESE,28_1,1,4,SALIX,3.34,,L
STEESE,28_1,1,5,BENE,0.64,,L
STEESE,28_1,1,5,PIME,0.56,,D
